"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","lastEditedDate","附件"
"430","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","微信可以设两个地址为默认地址，购买时会报“”发生未知错误“”然后提交成功，后台发货时没有取到地址电话等信息","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-18","Trunk(#trunk)","邱建云","2017-04-18","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"429","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","退货没有出库审核","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-18","Trunk(#trunk)","邱建云","2017-04-18","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"428","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","退货扣数量有误","","3","","代码错误","","","




","激活","0","未确认",",","刘辉辉","2017-04-18","Trunk(#trunk)","邱建云","2017-04-18","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"420","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","这个商品是有规格的，为什么发货的时候，规格不显示？","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-14","Trunk(#trunk)","邱建云","2017-04-14","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-14","",""
"419","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","微信前端，在结算的时候输入地址，保存后返回首页。点击地址一栏，返回首页","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-14","Trunk(#trunk)","邱建云","2017-04-14","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"418","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","总公司和店铺或分公司的商品管理，现在总公司可以下架分公司或店铺的商品，店铺也可以下架分公司或总公司的商品","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"417","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","特价86，买了8个，2个赠品；主管审核改价85，商品入库的在库价为17.2  =  86*6/30。主管改价无效？赠品会商品的整体影响库存价*********","","3","","代码错误","","","
","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-13","",""
"416","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","门店收货，以前的仓库也显示，但是实际不存在。不小心点错该如何","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"415","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","审核信息，建议可以记录流程审核意见。比如：审核主管审核可以看到业务审核的意见；发货单审核可以看到业务与主管的审核意见，如此类推。","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"414","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","建议这个店铺，取得是商品所属的店铺；建议我的订单页面要有总计金额显示","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-13","",""
"413","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","特价，销售单位为包，但是参考的上级折后价，和库存平均价为件的单位","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"412","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","總公司的平台外採購的供應商，是否應該篩選","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"411","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","小票的服务热线无","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-12","Trunk(#trunk)","邱建云","2017-04-12","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-12","",""
"410","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","会员提货管理，提货时应该对数量进行限制。散客是否可以存货","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-12","Trunk(#trunk)","邱建云","2017-04-12","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
